recno,Name,Survey,zHD,e_zHD,zCMB,zHel,mBcorr,e_mBcorr,c,e_c,x1,e_x1,mB,e_mB,B14,SDSSII-SN,K17,PS1MD,B19,F18,C22,SimbadName,_RA,_DE
1334,"160197","PS1MD",0.35372,0.00151,0.35361,0.3535,22.113,0.19,-0.027,0.039,-0.217,0.353,22.042,0.042,0,0,0,3,0,0,1,"[JSR2018] psc160197",241.61743,53.8718
1321,"160198","PS1MD",0.3491,0.00151,0.34899,0.3489,21.997,0.156,-0.095,0.033,0.217,0.298,21.741,0.045,0,0,0,3,0,0,1,"[JSR2018] psc160198",242.9048,53.97027
769,"390259","PS1MD",0.12231,0.00137,0.12208,0.122,19.359,0.23,0.029,0.03,-0.298,0.135,19.557,0.057,0,0,0,3,0,0,1,"[JSR2018] psc390259",242.39563,53.86722
1425,"160200","PS1MD",0.4236,0.00155,0.42349,0.4234,22.587,0.4,0.158,0.082,-0.195,0.917,22.871,0.076,0,0,0,3,0,0,1,"[JSR2018] psc160200",242.60756,54.14958
1089,"390449","PS1MD",0.25022,0.01005,0.25008,0.25,21.123,0.217,-0.028,0.026,-0.085,0.215,21.101,0.035,0,0,0,3,0,0,1,"[JSR2018] psc390449",242.95075,54.4558
1341,"160070","PS1MD",0.35909,0.00151,0.35897,0.3589,22.19,0.169,-0.067,0.032,1.124,0.354,21.87,0.035,0,0,0,3,0,0,1,"[JSR2018] psc160070",243.19241,54.87372
1193,"150509","PS1MD",0.29293,0.00147,0.2928,0.2927,21.493,0.172,-0.155,0.03,0.208,0.364,21.097,0.044,0,0,0,3,0,0,1,"[JSR2018] psc150509",241.23453,54.87814
1125,"520019","PS1MD",0.26323,0.00145,0.26309,0.263,21.386,0.168,-0.024,0.039,-0.492,0.275,21.386,0.054,0,0,0,3,0,0,1,"[JSR2018] psc520019",241.86119,54.45781
1303,"40782","PS1MD",0.33751,0.0015,0.33739,0.3373,21.757,0.236,0.153,0.042,-0.572,0.433,22.161,0.051,0,0,0,3,0,0,0,"[JSR2018] psc040782",242.0767,54.90815
1430,"50003","PS1MD",0.427,0.00155,0.42689,0.4268,22.56,0.228,-0.004,0.041,1.075,0.741,22.426,0.057,0,0,0,3,0,0,0,"[JSR2018] psc050003",242.21933,55.00481
821,"180166","PS1MD",0.14778,0.00138,0.14757,0.1475,19.908,0.168,0.035,0.026,0.601,0.11,19.903,0.031,0,0,0,3,0,0,1,"[JSR2018] psc180166",242.84265,55.0642
1553,"50203","PS1MD",0.57619,0.00165,0.57609,0.576,23.236,0.2,-0.118,0.057,1.018,0.737,22.856,0.068,0,0,0,3,0,0,0,"[JSR2018] psc50203",242.79296,55.12231
1534,"50201","PS1MD",0.55021,0.00163,0.55011,0.55,23.072,0.194,-0.072,0.046,0.306,0.655,22.799,0.055,0,0,0,3,0,0,0,"[JSR2018] psc050201",241.70335,54.98093
1323,"70955","PS1MD",0.34932,0.00151,0.3492,0.3491,21.888,0.156,-0.04,0.03,1.423,0.34,21.639,0.035,0,0,0,3,0,0,0,"[JSR2018] psc070955",241.47537,55.19786
1029,"40780","PS1MD",0.23082,0.00143,0.23066,0.2306,20.819,0.296,0.279,0.039,-0.911,0.472,21.667,0.045,0,0,0,3,0,0,0,"[JSR2018] psc040780",243.61947,54.72581
1343,"50293","PS1MD",0.36017,0.00151,0.36005,0.36,21.934,0.189,-0.023,0.033,0.431,0.409,21.819,0.036,0,0,0,3,0,0,0,"[JSR2018] psc050293",244.44877,55.30229
1503,"180313","PS1MD",0.51016,0.00161,0.51006,0.51,22.842,0.142,-0.05,0.036,0.41,0.41,22.621,0.036,0,0,0,3,0,0,1,"[JSR2018] psc180313",244.31883,55.37944
1267,"50291","PS1MD",0.32548,0.00149,0.32535,0.3253,21.974,0.191,0.007,0.04,0.336,0.388,21.918,0.047,0,0,0,3,0,0,0,"[JSR2018] psc050291",244.56613,55.38471
1088,"520077","PS1MD",0.25019,0.01005,0.25004,0.25,21.344,0.223,-0.119,0.04,-1.632,0.388,21.298,0.047,0,0,0,3,0,0,1,"[JSR2018] psc520077",244.66293,55.68421
1056,"510251","PS1MD",0.2402,0.01005,0.24004,0.24,21.132,0.263,0.085,0.031,0.029,0.305,21.352,0.037,0,0,0,3,0,0,1,"[JSR2018] psc510251",244.49368,55.74276
1319,"50301","PS1MD",0.34717,0.0015,0.34704,0.347,21.864,0.243,0.155,0.038,0.84,0.493,22.089,0.046,0,0,0,3,0,0,0,"[JSR2018] psc050301",244.7242,55.78291
1058,"510550","PS1MD",0.24122,0.00144,0.24106,0.241,21.076,0.128,-0.08,0.027,0.48,0.161,20.804,0.037,0,0,0,3,0,0,1,"[JSR2018] psc510550",243.27498,55.61166
1331,"50296","PS1MD",0.35099,0.00151,0.35087,0.3508,22.0,0.159,-0.054,0.037,0.817,0.481,21.741,0.047,0,0,0,3,0,0,0,"[JSR2018] psc050296",243.4509,55.60854
1142,"510638","PS1MD",0.2702,0.01006,0.27006,0.27,21.383,0.195,-0.089,0.028,0.217,0.144,21.156,0.039,0,0,0,3,0,0,1,"[JSR2018] psc510638",243.4694,56.08424
436,"2003U","CfA3S",0.02833,8.6E-4,0.02794,0.0281,16.014,0.175,-0.041,0.034,-2.124,0.322,16.234,0.041,1,0,0,0,2,0,1,"SN 2003U",260.69012,62.16407
668,"AT2017oz","FOUND",0.05614,8.8E-4,0.05641,0.05569,17.558,0.191,-0.022,0.037,-0.068,0.32,17.538,0.041,0,0,0,0,0,1,1,"AT2017oz",211.67325,30.31875
655,"ASASSN-16hc","FOUND",0.05151,8.8E-4,0.05165,0.05093,17.333,0.154,-0.079,0.034,1.219,0.277,16.963,0.038,0,0,0,0,0,0,1,"ASASSN-16hc",209.76857,33.13897
249,"2010ai","CfA4p2",0.01826,8.5E-4,0.01918,0.01826,15.726,0.217,-0.12,0.031,-1.649,0.091,15.728,0.036,0,0,0,0,0,0,1,"SN 2010ai",194.85,27.99653
353,"ASASSN-15jt","FOUND",0.0239,8.5E-4,0.02396,0.02306,15.636,0.403,0.211,0.039,-2.327,0.143,16.753,0.044,0,0,0,0,0,1,1,"ASASSN-15jt",197.03804,27.82636
643,"2006cq","CfA3K",0.04944,8.8E-4,0.04928,0.04844,17.33,0.166,-0.007,0.029,-0.167,0.508,17.324,0.032,0,0,0,0,2,0,1,"SN 2006cq",201.10432,30.9562
379,"2001cj","LOSS1",0.02494,8.5E-4,0.02491,0.02409,15.944,0.227,-0.128,0.041,0.715,0.109,15.568,0.032,0,0,0,0,0,0,1,"SN 2001cj",200.43687,31.24683
564,"2002G","LOSS1",0.03702,8.6E-4,0.03631,0.03548,16.553,0.307,0.242,0.03,-1.482,0.242,17.366,0.034,0,0,0,0,2,0,1,"SN 2002G",196.98035,34.0853
565,"2002G","CfA3S",0.03702,8.6E-4,0.03631,0.03548,16.676,0.317,0.197,0.04,-1.201,0.435,17.343,0.06,0,0,0,0,2,0,1,"SN 2002G",196.98035,34.0853
209,"iPTF14bdn","SOUSA",0.01603,8.5E-4,0.01636,0.01558,14.853,0.28,-0.066,0.045,1.269,0.18,14.535,0.036,0,0,0,0,0,0,1,"iPTF14bdn",202.687,32.76178
1691,"SCP06G4","SNAP",1.35136,0.00202,1.35134,1.34999,25.296,0.317,0.004,0.049,1.172,0.635,25.232,0.05,0,0,0,0,0,0,1,"SCP06G4",217.3281,34.64372
451,"ASASSN-15la","FOUND",0.02902,8.6E-4,0.02845,0.02782,15.803,0.217,0.053,0.034,-1.015,0.223,16.109,0.04,0,0,0,0,0,1,1,"ASASSN-15la",213.21342,35.71107
405,"SN2017mf","FOUND",0.02598,8.6E-4,0.02618,0.02561,16.058,0.177,-0.027,0.033,-0.158,0.144,16.026,0.038,0,0,0,0,0,1,1,"SN2017mf",214.12917,39.58667
93,"2019ein","LOWZ",0.00883,8.4E-4,0.00837,0.00775,13.609,0.326,-0.106,0.024,-1.589,0.04,13.629,0.028,0,0,0,0,0,0,1,"SN 2019ein",208.37137,40.27536
556,"ASASSN-15mi","FOUND",0.03585,8.6E-4,0.03501,0.03442,16.299,0.203,-0.008,0.032,0.495,0.145,16.265,0.038,0,0,0,0,0,1,1,"ASASSN-15mi",210.816,41.604
452,"1996C","CfA1",0.02913,8.6E-4,0.02875,0.02823,16.262,0.249,0.043,0.029,0.663,0.13,16.361,0.035,0,0,0,0,0,0,1,"SN 1996C",207.7025,49.31864
